source,target,weight
"Elkins, Aaron","Wilson, David",1
"Elkins, Aaron","King, Shawn",1
"Elkins, Aaron","Dunbar, Norah",1
"Elkins, Aaron","Bessarabova, Elena",1
"Elkins, Aaron","Burgoon, Judee",1
"Elkins, Aaron","Vincent, Cindy",1
"Elkins, Aaron","Miller, Claude",1
"Elkins, Aaron","Wilson, Scott",1
"Elkins, Aaron","Piercy, Cameron",1
"Marcus, Sarah Rose","Marcus, Sarah Rose",1
"Dumitriu, Diana","Dumitriu, Diana",1
"Lee, Debbie","Lai, Aloysius",1
"Lee, Debbie","Ling, Debby",1
"Lee, Debbie","Jung, Younbo",1
"Lee, Debbie","Yeo, Xinzi",1
"Lee, Debbie","Lee, Debbie",1
"Laursen, Bo","Laursen, Bo",1
"Laursen, Bo","Trapp, N.",1
"Meyen, Michael","Meyen, Michael",1
"Meyen, Michael","Fiedler, Anke",1
"Bostwick, Eryn","Johnson, Amy",1
"Bostwick, Eryn","Anderson, Chris",1
"Bostwick, Eryn","Bostwick, Eryn",1
"Skalski, Paul","Rader, Kara",1
"Skalski, Paul","Neuendorf, Kimberly",1
"Skalski, Paul","Skalski, Paul",1
"Hebbani, Aparna","Mackinnon, Mairead",1
"Hebbani, Aparna","Hebbani, Aparna",1
"Hebbani, Aparna","Gallois, Cindy",1
"Hebbani, Aparna","Khawaja, Nigar",1
"Einspaenner-Pflock, Jessica","Einspaenner-Pflock, Jessica",1
"Croes, Emmelyn","Croes, Emmelyn",1
"Croes, Emmelyn","Krahmer, Emiel",1
"Croes, Emmelyn","Schouten, Alexander",1
"Croes, Emmelyn","Antheunis, Marjolijn",1
"Gil de Zuniga, Homero","Weeks, Brian",1
"Gil de Zuniga, Homero","Gil de Zuniga, Homero",1
"Gil de Zuniga, Homero","Diehl, Trevor",1
"Ellcessor, Elizabeth","Ellcessor, Elizabeth",1
"Reber, Bryan","VanderMolen, Alan",1
"Reber, Bryan","Meng, Juan",1
"Reber, Bryan","Cacciatore, Michael",1
"Reber, Bryan","Reber, Bryan",1
"Contractor, Noshir","Stawicki, William",1
"Contractor, Noshir","Aubry, Hannah",1
"Contractor, Noshir","Contractor, Noshir",1
"Contractor, Noshir","Forbush, Eric",1
"Bae, Hyuhn-Suhck","Lee, Doohwang",1
"Bae, Hyuhn-Suhck","Bae, Hyuhn-Suhck",1
"Bae, Hyuhn-Suhck","Bae, EunGyuhl",1
"Bae, Hyuhn-Suhck","Azman, Bidin",1
