name	freq	Change
Southern Illinois U - Carbondale	2	Southern Illinois U
Southern Illinois U - Edwardsville	2	Southern Illinois U
Southern Illinois U Edwardsville	2	Southern Illinois U
Southern Methodist U	5	
Southwest Jiaotong U	1	
Spelman College	3	
St Cloud State U	1	
St. Lawrence U	1	
St. Norbert College	2	
Stanford	1	Stanford U
Stanford Prevention Research Center	2	Stanford U
Stanford U	30	Stanford U
State U of New York at Cortland	2	
Stephen F Austin State U	1	Stephen F Austin State U
Stephen F. Austin State U	6	Stephen F Austin State U
Stephen F. Austin U	1	Stephen F Austin State U
Stockholm U	4	Stockholm U
Stockholm U; Royal Institute of Technology(KTH)	1	Stockholm U
Stonehill College	1	
Suffolk U	1	
Sun Yat-sen U	3	
Sungkyunkwan U	15	Sungkyunkwan U
SungKyunKwan U	1	Sungkyunkwan U
SUNY - Buffalo	4	SUNY
SUNY College of Environmental Science  and  Forestry	2	SUNY
SUNY IT	2	SUNY
SUNY New Paltz	1	SUNY
SUNY Oneonta	1	SUNY
SUNY-Buffalo	2	SUNY
Swinburne U	1	Swinburne U
Swinburne U of Technology	8	Swinburne U
Syracuse U	38	
Tallinn U	1	
Taskstream	1	
Tata Institute of Social Sciences	1	
TCU	2	Texas Christian U
Technical U - Dresden	4	
Technical U of Dresden	2	
Technische Hochschule Mittelhessen	1	
Technische U Chemnitz	3	
Technische Universitaet Chemnitz / HIIG	2	
Technische Universitt Dresden	2	
Technische Universtitaet Chemnitz	1	
Tel Aviv U	6	
Telecom Paristech	3	
Temple U	26	
Tennessee Technological U	1	
Texas A and M U	6	Texas A and M U
Texas A&M U	8	Texas A and M U
Texas Christian U	3	Texas Christian U
Texas State U	17	
Texas Tech	1	Texas Tech
Texas Tech U	37	Texas Tech
The Annenberg School for Communication U of Pennsylvania	2	U of Pennsylvania
The Annenberg School for Communication/ The U of Pennsylvania	1	U of Pennsylvania
The Cancer Council Victoria	2	
The Chinese U of Hong Kong	25	
The College at Brockport - SUNY	1	
The College of New Jersey	1	
The Communications School College of Administration	1	
The George Washington U	1	
the Graduate U for Advanced Studies	1	
The Hebrew U of Jerusalem	4	
The Media School / Indiana U Bloomington	2	
The Ohio State U	15	
The Pennsylvania State U	7	
The U of Akron	1	
The U of Alabama	8	
The U of Michigan	1	
The U of Munster	1	
The U of New Mexico	1	
The U of Oklahoma	4	
The U of Scranton	1	
The U of Sheffield	2	
The U of Southern Mississippi	1	
The U of Texas at Austin	16	
The U of Texas at San Antonio	3	
The U of Virginia - Wise	1	
Tilburg U	19	
Tokyo Denki U	2	
Towson U	8	
Trent U	2	
Trimbos Institute Netherlands Institute for Mental Health and Addiction	1	
Trinity Lutheran College	1	
Trinity U	2	
Tsinghua U	2	
TU Dortmund U	4	
TU Dresden	7	
Tübingen U	1	Tubingen U
Tufts U School of Medicine	2	
Tulane U	3	
U  Libre de Bruxelles	2	
U at Albany	1	SUNY
U at Albany - SUNY	3	SUNY
U at Albany SUNY	1	SUNY
U at Buffalo	12	SUNY
U At Buffalo	2	SUNY
U at Buffalo - SUNY	2	SUNY
U at Buffalo State U of New York	4	SUNY
U at Buffalo-SUNY	2	SUNY
U Autónoma de Baja California	3	
U Autonoma de Madrid	1	
U Autónoma de Nuevo León	3	
U Autónoma del Estado de Morelos	1	
U Bergen	2	
U Carlos III de Madrid	1	
U catholique de Louvain	1	
U Catolica de la Santisima Concepcion	1	
U Cattolica del Sacro Cuore	2	
U Complutense de Madrid	2	
U de Costa Rica	1	
U de Guadalajara	1	
U de la Habana	2	
U de los Andes	1	
U de Málaga	1	
U de Manizales	1	
U de Montreal	3	
U de Navarra	1	
U de Puerto Rico	2	U de Puerto Rico
U de Puerto Rico Recinto de Río Piedras	4	U de Puerto Rico
U de Puerto Rico-Carolina	2	U de Puerto Rico
U de San Andrs	1	
U degli Studi di Bergamo	1	
U del Este	2	U del Este
U del Este-Sistema Ana G. Méndez	1	U del Este
U del Norte	1	
U del Turabo	1	
U della Svizzera italian	6	
U di Perugia	1	
U Diego Portales	7	
U du Quebec a Montreal	1	
U Duisburg-Essen	6	
U Federal de Minas Gerais	3	
U Federal de Santa Catarina	1	
U Hospital Careggi	1	
U Iberoamericana	2	
U Koblenz-Landau	3	
U Libre de Bruxelles	1	
U Lusófona	3	
U Mainz	1	
U Mannheim	5	
U Milano Bicocca	1	
U Muenster	1	
U Municipal de Sao Caetano do Sul	2	
U Nacional Autonoma de Mexico	1	
U Nacional de la Matanza	1	
U Nova de Lisboa	1	
U Oberta Catalunya	1	
U of  Mannheim	2	
U of Alabama	39	U of Alabama
U of Alabama - Birmingham	1	U of Alabama
U of Alabama - Huntsville	2	U of Alabama
U of Alabama/UNC Chapel Hill	2	U of Alabama
U of Alberta	1	
U of Alcala	2	
U of Amazonia (Unama)	1	
U of Amsterdam	148	U of Amsterdam
U of Amsterdam / ASCoR	7	U of Amsterdam
U of Amsterdam ASCOR	3	U of Amsterdam
U of Antwerp	52	U of Antwerp
U of Antwerp - Department of Communication Studies	2	U of Antwerp
U of applied Science Hanzehogeschool Groningen	1	
U of Applied Sciences HTW Chur	1	
U of Arizona	41	
U of Arkansas	1	U of Arkansas
U of Arkansas - Fort Smith	1	U of Arkansas
U of Arkansas at Monticello	1	U of Arkansas
U of Augsburg	1	
U of Barcelona	1	
U of Bergen	7	
U of Bielefeld	3	
U of Bonn	1	
U of Brasilia	1	
U of Bremen	2	U of Bremen
U of Bremen - ZeMKI	3	U of Bremen
U of Bremen Centre for Media Communication and Information Research (ZeMKI)	4	U of Bremen
U of Bremen/ U of Goldsmiths	2	U of Bremen
U of Bucharest	3	
U of Buffalo	1	
U of Buffalo - SUNY	17	SUNY
U of California - Berkeley	1	U of California
U of California - Davis	6	U of California
U of California - Los Angeles	5	U of California
U of California - Riverside	5	U of California
U of California - San Diego	2	U of California
U of California - San Francisco	3	U of California
U of California - Santa Barbara	51	U of California
U of California at Santa Barbara (UCSB)	1	U of California
U of California Davis	2	U of California
U of California Irvine	1	U of California
U of California Los Angeles	6	U of California
U of California Riverside	1	U of California
U of California San Diego	1	U of California
U of California San Francisco	2	U of California
U of California Santa Barbara	13	U of California
U of Canberra	2	
U of Canterbury	3	
U of Cape Town	2	
U of Central Florida	16	
U of Central Oklahoma	1	
U of Chester	2	
U of Chicago	2	
U of Cincinnati	8	
U of Cologne	13	
U of Colorado	6	U of Colorado
U of Colorado - Boulder	7	U of Colorado
U of Colorado -- Boulder	1	U of Colorado
U of Colorado - Denver	1	U of Colorado
U of Colorado at Boulder	1	U of Colorado
U of Connecticut	52	
U of Copenhagen	6	
U of Dallas	1	
U of Dayton	1	
U of Denver	14	
U of Duesseldorf	11	
U of Duisburg - Essen	5	U of Duisburg
U of Duisburg-Essen	16	U of Duisburg
U of East Anglia	1	
U of Erfurt	14	
U of Erlangen - Nuremberg	1	
U of Florida	24	
U of Freiburg	2	U of Freiburg
U of Fribourg	4	U of Freiburg
U of Geneva	2	
U of Georgia	53	
U of Gothenburg	8	
U of Graz	2	
U of Groningen	2	
U of Haifa	18	
U of Hamburg	2	
U of Hartford	1	
U of Hawaii at Manoa	2	
U of Helsinki	1	
U of Hohenheim	22	
U of Hong Kong	1	
U of Houston	9	U of Houston
U of Houston-Downtown	3	U of Houston
U of Houston–Downtown	1	U of Houston
U of Huddersfield	1	
U of Illinois	12	U of Illinois
U of Illinois - Chicago	2	U of Illinois
U of Illinois - Urbana Champaign	1	U of Illinois
U of Illinois at Chicago	1	U of Illinois
U of Illinois at Urbana Champaign	2	U of Illinois
U of Illinois at Urbana-Champai	1	U of Illinois
U of Illinois at Urbana-Champaign	8	U of Illinois
U of Illinois at Urbana–Champaign	28	U of Illinois
U of Illinois Urbana Champaign	3	U of Illinois
U of Illinois Urbana-Champaign	1	U of Illinois
U of Iowa	34	
U of Jena	3	
U of Jyvaskyla	3	U of Jyvaskyla
U of Jyvaskyla Dept. of COM.	1	U of Jyvaskyla
U of Jyvskyl	1	U of Jyvaskyla
U of Kansas	25	
U of Kassel	2	
U of Kentucky	30	
U of Koblenz-Landau	6	
U of KwaZulu-Natal	1	
U of Leeds	6	
U of Leicester	5	
U of Leipzig	2	
U of Leuven	17	U of Leuven
U of Leuven  - School for Mass Communication Research	3	U of Leuven
U of Leuven - School for Mass Communication Research	19	U of Leuven
U of Lisbon	1	
U of Liverpool	1	
U of London Goldsmiths College	2	
U of Louisiana at Monroe	1	
U of Luxembourg	3	
U of Maastricht	1	
U of Macao	1	
U of Macau	2	
U of Maine	3	
U of Mainz	24	
U of Malaga	3	
U of Malta	1	
U of Mannheim	41	U of Mannheim
U of Mannheim/U of Amsterdam	2	U of Mannheim
U of Maryland	52	U of Maryland
U of Maryland - College Park	4	U of Maryland
U of Maryland College Park	5	U of Maryland
U of Massachusetts	3	U of Massachusetts
U of Massachusetts - Amherst	8	U of Massachusetts
U of Massachusetts - Lowell	1	U of Massachusetts
U of Massachusetts Amherst	4	U of Massachusetts
U of Massachusetts Amhert	1	U of Massachusetts
U of Melbourne	11	
U of Memphis	3	
U of Miami	24	
U of Michigan	57	U of Michigan
U of Michigan - Dearborn	2	U of Michigan
U of Michigan - Flint	1	U of Michigan
U of Michigan Ann Arbor	3	U of Michigan
U of Michigan Psychology Dept.	4	U of Michigan
U of Milan-Bicocca	1	
U of Minho	1	
U of Minnesota	22	U of Minnesota
U of Minnesota - Duluth	3	U of Minnesota
U of Minnesota - Twin Cities	4	U of Minnesota
U of Minnesota Twin Cities	1	U of Minnesota
U of Minnesota-Twin Cities	1	U of Minnesota
U of Missouri	50	U of Missouri
U of Missouri - Columbia	7	U of Missouri
U of Missouri - St. Louis	3	U of Missouri
U of Missouri Columbia	1	U of Missouri
U of Missouri School of Journalism	2	U of Missouri
U of Missouri-Columbia	1	U of Missouri
U of Montana	1	
U of Montreal	3	
U of Muenster	13	
U of Murcia	1	
U of Music	1	
U of Music Drama and Media (Department of Journalism and Communication Research)	1	
U of Naples	1	
U of Navarra	2	
U of Navarra / Intermedia Social Innovation	1	
U of Nebraska-Lincoln	4	
U of Neuchatel - Academy of Journalism and Media	1	
U of Nevada Las Vegas	3	
U of Nevada Reno	3	
U of New Hampshire	1	
U of New Mexico	3	
U of North Carolina	3	U of North Carolina
U of North Carolina - Chapel Hill	34	U of North Carolina
U of North Carolina - Charlotte	6	U of North Carolina
U of North Carolina - Wilmington	1	U of North Carolina
U of North Carolina at Chapel Hill	3	U of North Carolina
U of North Carolina Chapel Hill	3	U of North Carolina
U of North Carolina Wilmington	3	U of North Carolina
U of North Dakota	2	
U of North Georgia	1	
U of North Texas	4	
U of Northern Colorado	3	
U of Nottingham	2	
U of Oklahoma	76	
U of Oregon	24	
U of Oslo	4	
