univ	freq
Xavier U of Louisiana	1
Middle Tennessee State U	2
Syracuse U	38
Nielsen Korea	1
Centre for Interdisciplinary Studies in Society and Culture Concordia U	1
TU Dresden	7
Rochester Institute of Technology	4
Queensland U of Technology	20
Central Michigan U	4
NOVA / WGBH Boston	2
The U of Michigan	1
U of Cincinnati	8
U of Waikato	5
The Chinese U of Hong Kong	25
West Virginia U	19
Webster U	2
U of Dallas	1
U of Wisconsin - Madison	9
Denver Health	2
U of Colorado - Boulder	7
Ithaca College	1
U of the West Indies	1
Indiana U Pennsylvania	1
Political Communication Lab (LACOP)	1
Morehouse U	3
IULM U	1
Rutgers WPF	1
Maastricht U	4
New York U	15
Swinburne U of Technology	8
London School of Economics and Political Science	6
Behavioural Science Institute	1
St. Lawrence U	1
SUNY IT	2
U of West Indies	1
Oklahoma City U	1
U of Northern Colorado	3
U of Illinois Urbana-Champaign	1
Goldsmiths College U of London	2
Universite de Montreal	4
U of Canterbury	3
U of Minnesota Twin Cities	1
U of Vienna	52
ARC Centre of Excellence for Creative Industries and Innovation	2
U of Kassel	2
U of Bremen Centre for Media Communication and Information Research (ZeMKI)	4
KAIST	9
U della Svizzera italian	6
U of Houston–Downtown	1
Bowie State U	2
Catholic U of America	1
Democritus U of Thrace	1
U Diego Portales	7
U of Warsaw	1
U of Tampere	12
U of the Witwatersrand Johannesburg	2
U of California San Diego	1
Eastern Connecticut State U	1
Weber State U	1
U of Osnabrueck	1
U of Sydney	1
UW Madison	1
VU U	4
U of Jyvaskyla Dept. of COM.	1
Jacksonville U	1
Common Sense Media	1
U of Bielefeld	3
U of North Carolina - Wilmington	1
Rauawaawa Kaumatua Charitable Trust	1
Open U of Israel	2
Massey U	14
UNCW	1
U of Milan-Bicocca	1
LMU Munich	68
PVI	1
U of Helsinki	1
Behavioural Science Institute / Radboud U Nijmegen	1
Department of Media Studies / U of Tuebingen	1
U Rey Juan Carlos	4
U of Texas - Dallas	5
Leiden U	10
U of Salford	1
Virginia Commonwealth U	8
Koc U	1
U of Massachusetts Amhert	1
Tulane U	3
U of North Carolina Wilmington	3
U de Málaga	1
UC-Santa Barbara	2
Johns Hopkins U	6
Shanghai International Studies U	1
SUNY-Buffalo	2
Miami U - Ohio	3
Federal U of Minas Gerais (UFMG)	1
Washington State U	18
Huatian Technology Corporation	1
Baruch College - CUNY	3
Kent State U	8
U of St. Gallen	11
ASCoR U of Amsterdam	49
U of Colorado - Denver	1
Miami U	1
The College at Brockport - SUNY	1
Mikonics	1
U of North Georgia	1
Stonehill College	1
JiangHuai Magazine	1
Texas A and M U	6
Loughborough U	1
CICANT-ULHT	1
UMass Boston	3
New Jersey Institute of Technology	2
Technische Universitt Dresden	2
Montclair State U	2
U of Augsburg	1
U Catolica de la Santisima Concepcion	1
Southern Illinois U Edwardsville	2
U of Maastricht	1
Rensselaer Polytechnic Institute	1
City U of Hong Kong	28
U of Liverpool	1
National Chengchi U	3
U of Malta	1
Roskilde U	4
Western Michigan U	8
U of South Carolina	10
Ben-Gurion U of the Negev	12
U of Washington	21
Annenberg School for Communication at the U of Pennsylvania	1
Zayed U	1
Deakin U	1
Wake Forest U	8
George Washington U	20
U of Buffalo	1
Media Psychology U of Wuerzburg	1
U of Minnesota-Twin Cities	1
U of Cologne	13
UNESP-Faculdade de Filosofia e Letras	1
San Diego State U	12
American U	17
Hohenheim U	1
Zurich U of Applied Sciences	1
UT Austin	1
Media Ecology Association	1
Communication U of China	4
U of North Carolina - Charlotte	6
ASCoR - U of Amsterdam	4
U of Montana	1
Initiative for Children and Families ASSMCA	1
Central Washington U	1
Kookmin U	1
California State U Fullerton	1
The Hebrew U of Jerusalem	4
Dartmouth College	1
U  Libre de Bruxelles	2
U of Duisburg - Essen	5
Technical U - Dresden	4
St. Norbert College	2
Eastern Michigan U	2
U of Perugia	1
Hofstra U	1
Independent Researcher	1
TCU	2
U of Amsterdam ASCOR	3
Bangladesh Center for Communication Programs	1
Cardiff U - JOMEC	8
Quinnipiac U	6
Nanjing U	1
Utah State U	7
U of Michigan - Dearborn	2
Leibniz-Institut fuer Wissensmedien	3
VU U Amsterdam	68
Hope College	5
Denison U	2
Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies	1
The Media School / Indiana U Bloomington	2
U of Texas Austin	1
Penn State York	2
NO/AIDS Task Force	2
Emory U	9
National Institute for Environmental Studies	4
U of Wisconsin-Whitewater	2
New Mexico State U	1
U of Bonn	1
U of Puerto Rico Río Piedras Campus	3
U at Buffalo State U of New York	4
U of Colorado	6
Emerson College	6
U at Buffalo - SUNY	2
Carnegie Mellon U	1
U of Huddersfield	1
Philipp U of Marburg	2
Pontificia Universidad Católica de Chile	1
Governors State U	2
Bonn U	1
Aberystwyth U	1
OCAD U	1
The U of Texas at San Antonio	3
U Milano Bicocca	1
U Complutense de Madrid	2
U of Leuven  - School for Mass Communication Research	3
Vassar College	1
U Federal de Minas Gerais	3
U of Antwerp	52
Lucile Packard Children's Hospital	8
Nanyang Technological U	85
College of Management Academic Studies	3
Hongik U	4
U of Queensland/U of Western Sydney	2
U of Minnesota	22
U of Quebec in Montreal (UQAM)	2
U of Illinois at Urbana-Champaign	8
Tufts U School of Medicine	2
U of Alabama	39
U of Illinois at Urbana–Champaign	28
Villanova U	5
U of Oxford	3
California State U - Northridge	2
U Koblenz-Landau	3
Uppsala U	3
U of Rotterdam	1
National Research U – Higher School of Economics	2
Eastern China Normal U	1
Salem State U	2
The U of Oklahoma	4
U of Massachusetts Amherst	4
U of Illinois - Urbana Champaign	1
Ramapo College of New Jersey	1
KU Leuven	9
North Carolina State U	20
Jefferson Hoye LLC	1
U Pompeu Fabra	1
U of Hamburg	2
Peru Ministry for Development and Social Inclusion	1
Ruhr U Bochum	4
Aarhus U	8
National U of Singapore	19
Wayne State U	26
Western New England U	1
Trinity U	2
Tallinn U	1
Birmingham City U	2
U of Louisiana at Monroe	1
Edelman	1
IWM Tuebingen	2
U of Alabama/UNC Chapel Hill	2
Hollins U	2
Izmir U of Economics	1
Muhlenberg College	1
U of Wisconsin Madison	1
Waikato Tainui College	1
Austin Peay State U	2
Johns Hopkins SAIS	1
Waukesha County Technical College	1
Moffitt Cancer Center	1
U of Santiago	2
Birkbeck U of London	4
U of Arkansas - Fort Smith	1
U Bergen	2
U of Wuerzburg	3
Central European U	1
German Sport U Cologne	2
Free U of Berlin	1
Gonzaga U	1
Fundacion Democracia y Desarrollo	3
Lusofona U	4
Rollins College	1
Westfaelische Wilhelms-Universitaet Muenster	6
U of Queensland	9
Penn State U-U Park	1
Department of information science and media studies / U of Bergen	2
U of California Davis	2
Claremont Graduate U	6
SUNY Oneonta	1
Texas A&M U	8
Franciscan U - Steubenville Dept. of Communication Arts	1
U of California Riverside	1
Aurora U	1
U of Texas at Austin	24
George Mason U	24
U of Puerto Rico	3
U of Wisconsin_Madison	2
U de la Habana	2
Midwestern U	1
Universita' della Svizzera Italiana	1
California State U - Fullerton	4
Copenhagen Business School	8
U of Bucharest	3
Penn State	6
U Hospital Careggi	1
Drexel U	2
Texas Tech U	37
U of Wisconsin-Madions	1
Department of Education U of Bologna	1
U of Erlangen - Nuremberg	1
Southwest Jiaotong U	1
California Lutheran U	3
ITESO U	1
Dana-Farber Cancer Institute and Harvard School of Public Health	2
Research Center in Communication and Culture Catholic U of Portugal & Research Center in Applied Communication Culture and New Technologies Lusófona U	1
The U of Texas at Austin	16
U of Illinois at Urbana-Champai	1
Illinois State U	8
Highpoint U	1
Boston U	7
Zeppelin U gemeinnuetzige GmbH	1
Hanover U of Music Drama and Media	11
Paris Sorbonne U - CELSA	1
City U London	3
Ball State U	1
U of Music	1
Fors Marsh Group	2
National Research U Higher School of Economics	1
Medical College of Wisconsin	1
Pontificia U Católica de Chile	5
Catholic U - Leuven	6
National Institute of Informatics Japan	2
Jacobs U Bremen	1
U at Albany SUNY	1
U of Tampa	1
U of Hong Kong	1
The U of Alabama	8
Boston Children's Hospital Harvard U	1
U de Montreal	3
Saint Louis U	2
Lakehead U	1
New York Institute of Technology	1
U of Amazonia (Unama)	1
U of Maryland	52
Passau U	2
U of the Philippines	3
U of Wisconsin	3
California State U	1
DePaul U	17
U of Virginia	10
Bar-Ilan U.	1
U of Zagreb	3
Centre for Media Communication and Information Research U of Bremen	1
U of Pittsburgh	7
Saint Vincent College	1
U de Costa Rica	1
U Nacional de la Matanza	1
Western Illinois U	1
The Communications School College of Administration	1
U of Twente	12
Rikkyo U	1
Taskstream	1
U of Amsterdam	148
U of North Texas	4
U of Oklahoma	76
California State U Fresno	2
Orebro U	4
U of Puerto Rico at Arecibo	3
Eberhard Karls U Tuebingen	1
Portland State U	9
Buskerud and Vestfold U College	1
U Nacional Autonoma de Mexico	1
U of Central Oklahoma	1
USP	1
ARC Centre of Excellence for Creative Industries and Innovation Queensland U of Technology	1
ASCoR / U of Amsterdam	3
U of California - Riverside	5
Kyung Hee U	1
U of Salamanca	1
U of Rochester	1
National Chiao Tung U	6
UNC-CH	1
Leeds Trinity U	1
U di Perugia	1
U de Navarra	1
Internet Interdisciplinary Institute Open U of Catalonia	1
U of West Florida	3
U Putra Malaysia	2
Joan Ganz Cooney Center at Sesame Workshop	2
Rutgers U - School of Communication and Information	1
Ars Electronica Futurelab	1
European Communication Research and Education Association	1
U of applied Science Hanzehogeschool Groningen	1
U of Illinois - Chicago	2
Choongang U	1
U of Massachusetts - Lowell	1
Oxford Internet Institute	1
Lund U	3
U Cattolica del Sacro Cuore	2
Klein Buendel Inc.	10
Agency for Science Technology and Research	3
National School of Political and Administrative Studies	2
North Dakota State U	13
U of North Dakota	2
Imperial College London	1
U Nova de Lisboa	1
Griffith U	2
Hallym U	3
Michigan State U	128
California State U - Stanislaus	1
Indiana U – Purdue U Fort Wayne	5
U of Alabama - Huntsville	2
U of Chester	2
The U of Munster	1
U of Duisburg-Essen	16
Netherlands Youth Institute/Erasmus U Rotterdam	1
U of San Diego	4
Bangladesh Center for Communication Programs - BCCP	1
City U	1
U of Westminster - Communication and Media Research Institute	1
U at Buffalo-SUNY	2
U of Technology Sydney	2
U of Neuchatel - Academy of Journalism and Media	1
AIDS Help Inc.	1
Tata Institute of Social Sciences	1
The Annenberg School for Communication U of Pennsylvania	2
U of Missouri Columbia	1
Keio U	1
U of California Los Angeles	6
Trimbos Institute Netherlands Institute for Mental Health and Addiction	1
U of Southern Denmark	9
U of Arizona	41
